sr no ,rank,cutoff,intitute name,branch,Exam
106,85905,27.870019,"6304 - Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and
Research Centre, Vita,Sangli",Computer Science and Engineering,MHT-CET
107,86116,26.547744,"3190 - Terna Engineering College, Nerul, Navi Mumbai",Mechanical Engineering,MHT-CET
108,86274,26.1518015,"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Civil Engineering,MHT-CET
109,86288,26.1518015,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Electrical Engineering,MHT-CET
110,86470,25.1731725,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",Civil Engineering,MHT-CET
111,86555,25.1347094,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",Artificial Intelligence and Data Science,MHT-CET
112,86556,25.1347094,"2141 - Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village
Tal. & Dist. Aurangabad","Electronics and Telecommunication
Engg",MHT-CET
113,86606,25.044315,"4179 - Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College
of Engineering, Nagpur","Electronics and Communication
Engineering",MHT-CET
114,86653,25.0126497,"6293 - Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's
Bramhadevdada Mane Institute of Technology, Solapur",Electrical Engineering,MHT-CET
115,86720,24.974559,"6307 - Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal.
Haveli",Civil Engineering,MHT-CET
116,86885,24.7074636,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,
Nagpur",Computer Engineering,MHT-CET
117,87071,23.6497475,"6214 - K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",Mechatronics Engineering,MHT-CET
118,87100,23.5047219,"6250 - D.Y. Patil College of Engineering and Technology, Kolhapur",Civil Engineering,MHT-CET
119,87221,23.1246308,"3175 - M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Civil Engineering,MHT-CET
120,87225,23.1246308,"4613 - Suryodaya College of Engineering & Technology, Nagpur","Electronics and Telecommunication
Engg",MHT-CET
121,87401,22.451308,"6293 - Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's
Bramhadevdada Mane Institute of Technology, Solapur","Electronics and Telecommunication
Engg",MHT-CET
122,87478,22.3397367,"5171 - Godavari Foundation's Godavari College Of Engineering, Jalgaon",Computer Engineering,MHT-CET
123,87524,22.0730987,"6220 - Shri Vithal Education and Research Institute's College of Engineering,
Pandharpur",Civil Engineering,MHT-CET
124,87543,22.0508994,"3200 - Hope Foundation and research center's Finolex Academy of Management and
Technology, Ratnagiri",Electrical Engineering,MHT-CET
125,87696,21.9131615,"6649 - TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Electrical Engineering,MHT-CET
126,87732,21.6081594,"6268 - Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Civil Engineering,MHT-CET
127,87776,21.6081594,"5108 - Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare
College Of Engineering, Nashik","Instrumentation and Control
Engineering",MHT-CET
128,87824,21.4906113,"4190 - M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of
Engineering & Technology, Badravati",Computer Science and Engineering,MHT-CET
129,87944,20.7823333,"6640 - N. B. Navale Sinhgad College of Engineering, Kegaon, solapur","Electronics and Telecommunication
Engg",MHT-CET
130,87960,20.7823333,"4104 - Kavi Kulguru Institute of Technology & Science, Ramtek","Electronics and Communication
Engineering",MHT-CET
